"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-641-10.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output ep.A.x.csv",,,,"Date:","26 Feb 2016 17:58:38 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
41.727,3.426,54.756,0.072,0.000,0.019,373626.531,1124551.491,994021376.0,166088704.0,3614957568.0,62883557376.0
3.125,0.094,96.781,0.0,0.0,0.0,0.0,0.0,994279424.0,166088704.0,3614961664.0,62883295232.0
3.159,0.094,96.747,0.0,0.0,0.0,0.0,0.0,994631680.0,166088704.0,3614990336.0,62882914304.0
3.129,0.063,96.809,0.0,0.0,0.0,0.0,0.0,994631680.0,166088704.0,3614990336.0,62882914304.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,994631680.0,166088704.0,3614990336.0,62882914304.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,994680832.0,166088704.0,3614990336.0,62882865152.0
3.131,0.063,96.243,0.564,0.0,0.0,0.0,20480.0,994418688.0,166088704.0,3614990336.0,62883127296.0
3.129,0.063,96.809,0.0,0.0,0.0,0.0,0.0,994291712.0,166088704.0,3614990336.0,62883254272.0
3.161,0.063,96.776,0.0,0.0,0.0,0.0,0.0,994148352.0,166088704.0,3614990336.0,62883397632.0


"Host:","compute-641-10.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output ep.A.x.csv",,,,"Date:","26 Feb 2016 17:58:49 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
41.727,3.426,54.756,0.072,0.000,0.019,373626.379,1124551.037,993337344.0,166088704.0,3614990336.0,62884208640.0
3.124,0.062,96.813,0.0,0.0,0.0,0.0,0.0,993091584.0,166088704.0,3614990336.0,62884454400.0
3.127,0.031,96.842,0.0,0.0,0.0,0.0,0.0,993607680.0,166088704.0,3614990336.0,62883938304.0
3.157,0.063,96.780,0.0,0.0,0.0,0.0,0.0,993603584.0,166088704.0,3614990336.0,62883942400.0
3.127,0.063,96.811,0.0,0.0,0.0,0.0,0.0,993603584.0,166088704.0,3614990336.0,62883942400.0
3.129,0.094,96.777,0.0,0.0,0.0,0.0,0.0,993603584.0,166088704.0,3614990336.0,62883942400.0
3.126,0.094,96.155,0.625,0.0,0.0,0.0,20480.0,993460224.0,166088704.0,3614990336.0,62884085760.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,993333248.0,166088704.0,3614990336.0,62884212736.0
3.127,0.094,96.779,0.0,0.0,0.0,0.0,0.0,993247232.0,166088704.0,3614990336.0,62884298752.0


"Host:","compute-641-10.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output ep.A.x.csv",,,,"Date:","26 Feb 2016 17:58:59 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
