"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-7.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output is.B.x.csv",,,,"Date:","26 Feb 2016 01:30:21 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
20.594,1.818,77.556,0.029,0.000,0.003,14960.127,482713.653,800915456.0,361738240.0,1943756800.0,47634583552.0
4.165,0.083,95.752,0.0,0.0,0.0,0.0,0.0,834371584.0,361738240.0,1943756800.0,47601127424.0
4.127,0.083,95.790,0.0,0.0,0.0,0.0,0.0,867905536.0,361738240.0,1943785472.0,47567564800.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,901206016.0,361738240.0,1943785472.0,47534264320.0
4.088,0.083,95.828,0.0,0.0,0.0,0.0,0.0,1002094592.0,361738240.0,1943785472.0,47433375744.0
4.132,0.042,95.826,0.0,0.0,0.0,0.0,0.0,1075048448.0,361738240.0,1943785472.0,47360421888.0
4.174,0.042,95.618,0.167,0.0,0.0,0.0,20480.0,1074520064.0,361738240.0,1943785472.0,47360950272.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1073987584.0,361738240.0,1943785472.0,47361482752.0
4.214,0.083,95.703,0.0,0.0,0.0,0.0,0.0,1073606656.0,361738240.0,1943785472.0,47361863680.0


"Host:","compute-431-7.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output is.B.x.csv",,,,"Date:","26 Feb 2016 01:30:32 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
20.594,1.818,77.556,0.029,0.000,0.003,14960.121,482713.453,851505152.0,361738240.0,1943789568.0,47583961088.0
8.285,0.125,91.590,0.0,0.0,0.0,0.0,8192.0,918097920.0,361738240.0,1943789568.0,47517368320.0
8.215,0.167,91.618,0.0,0.0,0.0,0.0,0.0,1085743104.0,361738240.0,1943789568.0,47349723136.0
8.299,0.042,91.660,0.0,0.0,0.0,0.0,0.0,1119469568.0,361738240.0,1943789568.0,47315996672.0
8.340,0.042,91.618,0.0,0.0,0.0,0.0,0.0,1119469568.0,361738240.0,1943789568.0,47315996672.0


"Host:","compute-431-7.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output is.B.x.csv",,,,"Date:","26 Feb 2016 01:30:38 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
20.594,1.818,77.556,0.029,0.000,0.003,14960.117,482713.329,828047360.0,361738240.0,1943789568.0,47607418880.0
16.410,0.125,83.465,0.0,0.0,0.0,0.0,0.0,953749504.0,361738240.0,1943789568.0,47481716736.0
15.346,0.250,84.404,0.0,0.0,0.0,0.0,0.0,1095704576.0,361738240.0,1943789568.0,47339761664.0


"Host:","compute-431-7.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output is.B.x.csv",,,,"Date:","26 Feb 2016 01:30:43 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
20.594,1.818,77.556,0.029,0.000,0.003,14960.115,482713.245,835129344.0,361738240.0,1943789568.0,47600336896.0
32.403,0.500,66.889,0.208,0.0,0.0,0.0,28672.0,1095426048.0,361738240.0,1943789568.0,47340040192.0


"Host:","compute-431-7.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output is.B.x.csv",,,,"Date:","26 Feb 2016 01:30:46 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
20.594,1.818,77.556,0.029,0.000,0.003,14960.113,482713.184,855093248.0,361738240.0,1943793664.0,47580368896.0


"Host:","compute-431-7.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output is.B.x.csv",,,,"Date:","26 Feb 2016 01:30:49 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
20.594,1.818,77.556,0.029,0.000,0.003,14960.111,482713.127,830586880.0,361738240.0,1943793664.0,47604875264.0
45.258,0.624,54.118,0.0,0.0,0.0,0.0,0.0,1070804992.0,361738240.0,1943793664.0,47364657152.0


"Host:","compute-431-7.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output is.B.x.csv",,,,"Date:","26 Feb 2016 01:30:52 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
20.594,1.818,77.556,0.029,0.000,0.003,14960.109,482713.069,836136960.0,361738240.0,1943797760.0,47599321088.0


"Host:","compute-431-7.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output is.B.x.csv",,,,"Date:","26 Feb 2016 01:30:55 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
20.594,1.818,77.556,0.029,0.000,0.003,14960.107,482713.015,881385472.0,361738240.0,1943801856.0,47554068480.0


"Host:","compute-431-7.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output is.B.x.csv",,,,"Date:","26 Feb 2016 01:30:58 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
20.594,1.818,77.556,0.029,0.000,0.003,14960.106,482712.964,866525184.0,361738240.0,1943805952.0,47568924672.0
