"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-3.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output cg.C.32.csv",,,,"Date:","29 Feb 2016 11:24:05 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
13.825,0.334,85.794,0.012,0.000,0.035,218.751,8181.396,342695936.0,142356480.0,121270272.0,12008665088.0
48.058,19.916,31.733,0.084,0.0,0.209,0.0,0.0,1588883456.0,142356480.0,133996544.0,10749751296.0
52.669,38.907,8.257,0.0,0.0,0.167,0.0,0.0,1598365696.0,142356480.0,135888896.0,10738376704.0
54.0,37.500,8.208,0.125,0.0,0.167,0.0,180224.0,1598636032.0,142368768.0,135987200.0,10737995776.0
58.774,35.640,5.169,0.125,0.0,0.292,0.0,49152.0,1598889984.0,142372864.0,135983104.0,10737741824.0
63.720,31.776,4.128,0.0,0.0,0.375,0.0,0.0,1596674048.0,142372864.0,135987200.0,10739953664.0
62.833,32.667,4.125,0.0,0.0,0.375,0.0,0.0,1596293120.0,142372864.0,135987200.0,10740334592.0
66.291,29.120,4.088,0.0,0.0,0.501,0.0,0.0,1594449920.0,142372864.0,135987200.0,10742177792.0
64.053,31.526,4.128,0.0,0.0,0.292,0.0,0.0,1593798656.0,142372864.0,135987200.0,10742829056.0
60.358,35.223,4.043,0.083,0.0,0.292,0.0,12288.0,1594052608.0,142381056.0,135979008.0,10742575104.0
59.0,36.583,4.167,0.0,0.0,0.250,0.0,0.0,1593036800.0,142381056.0,135979008.0,10743590912.0
63.553,31.943,4.128,0.0,0.0,0.375,0.0,0.0,1591672832.0,142381056.0,135987200.0,10744946688.0
64.971,30.567,4.087,0.0,0.0,0.375,0.0,4096.0,1591775232.0,142381056.0,135987200.0,10744844288.0
62.985,32.597,4.127,0.0,0.0,0.292,0.0,0.0,1591902208.0,142381056.0,135987200.0,10744717312.0
59.708,35.833,4.167,0.0,0.0,0.292,0.0,0.0,1591267328.0,142381056.0,135987200.0,10745352192.0
62.776,32.847,4.127,0.0,0.0,0.250,0.0,0.0,1590886400.0,142381056.0,135987200.0,10745733120.0
64.262,31.193,4.128,0.0,0.0,0.417,0.0,0.0,1590251520.0,142381056.0,135987200.0,10746368000.0
60.842,34.779,4.128,0.0,0.0,0.250,0.0,32768.0,1588690944.0,142381056.0,135987200.0,10747928576.0
60.625,35.042,4.083,0.042,0.0,0.208,0.0,20480.0,1588436992.0,142381056.0,135987200.0,10748182528.0
63.094,32.402,4.128,0.0,0.0,0.375,0.0,0.0,1588031488.0,142381056.0,135987200.0,10748588032.0
62.901,32.597,4.127,0.0,0.0,0.375,0.0,0.0,1586954240.0,142381056.0,135987200.0,10749665280.0
63.761,31.776,4.128,0.0,0.0,0.334,0.0,0.0,1587032064.0,142381056.0,135987200.0,10749587456.0
63.943,31.555,4.085,0.0,0.0,0.417,0.0,0.0,1586577408.0,142381056.0,135987200.0,10750042112.0
62.135,33.361,4.128,0.0,0.0,0.375,0.0,0.0,1587056640.0,142381056.0,135987200.0,10749562880.0
63.902,31.596,4.127,0.0,0.0,0.375,0.0,0.0,1587183616.0,142381056.0,135987200.0,10749435904.0
63.511,32.027,4.128,0.0,0.0,0.334,0.0,0.0,1587310592.0,142381056.0,135987200.0,10749308928.0
61.266,34.277,4.165,0.0,0.0,0.292,0.0,0.0,1586356224.0,142381056.0,135987200.0,10750263296.0
65.763,29.733,4.128,0.0,0.0,0.375,0.0,0.0,1586991104.0,142381056.0,135987200.0,10749628416.0
63.136,32.444,4.128,0.0,0.0,0.292,0.0,0.0,1587245056.0,142381056.0,135987200.0,10749374464.0
66.028,29.471,4.085,0.0,0.0,0.417,0.0,0.0,1586982912.0,142381056.0,135987200.0,10749636608.0
60.550,35.029,4.128,0.0,0.0,0.292,0.0,0.0,1587363840.0,142381056.0,135987200.0,10749255680.0
62.333,33.083,4.167,0.0,0.0,0.417,0.0,0.0,1587118080.0,142381056.0,135987200.0,10749501440.0
52.522,43.018,4.127,0.250,0.0,0.083,0.0,8130560.0,1587118080.0,142381056.0,135987200.0,10749501440.0
48.604,45.311,5.711,0.333,0.0,0.042,0.0,3547136.0,1587245056.0,142381056.0,135987200.0,10749374464.0
64.887,30.567,4.128,0.0,0.0,0.417,0.0,0.0,1587752960.0,142381056.0,135987200.0,10748866560.0
66.042,29.417,4.167,0.0,0.0,0.375,0.0,0.0,1587245056.0,142381056.0,135987200.0,10749374464.0
62.526,32.930,4.127,0.0,0.0,0.417,0.0,0.0,1587752960.0,142381056.0,135987200.0,10748866560.0
62.417,33.083,4.167,0.0,0.0,0.333,0.0,0.0,1587372032.0,142381056.0,135987200.0,10749247488.0
61.869,33.041,3.796,0.960,0.0,0.334,0.0,4681728.0,1587195904.0,142389248.0,135983104.0,10749419520.0
63.833,31.542,4.167,0.0,0.0,0.458,0.0,0.0,1587064832.0,142389248.0,135987200.0,10749546496.0
60.817,34.723,4.127,0.0,0.0,0.333,0.0,0.0,1586171904.0,142389248.0,135991296.0,10750435328.0
61.500,34.0,4.167,0.0,0.0,0.333,0.0,0.0,1586679808.0,142389248.0,135991296.0,10749927424.0
64.220,31.276,4.128,0.0,0.0,0.375,0.0,0.0,1586679808.0,142389248.0,135991296.0,10749927424.0
63.292,32.292,4.042,0.0,0.0,0.375,0.0,0.0,1587179520.0,142389248.0,135991296.0,10749427712.0
62.318,33.222,4.085,0.083,0.0,0.292,0.0,12288.0,1586290688.0,142397440.0,135983104.0,10750316544.0
61.526,34.014,4.127,0.0,0.0,0.333,0.0,0.0,1585266688.0,142397440.0,135991296.0,10751332352.0
64.0,31.458,4.167,0.0,0.0,0.375,0.0,0.0,1585438720.0,142397440.0,135991296.0,10751160320.0
63.720,31.776,4.128,0.0,0.0,0.375,0.0,0.0,1585332224.0,142397440.0,135991296.0,10751266816.0
60.392,35.110,4.165,0.0,0.0,0.333,0.0,0.0,1585967104.0,142397440.0,135991296.0,10750631936.0
61.494,34.126,4.130,0.0,0.0,0.250,0.0,0.0,1585586176.0,142397440.0,135991296.0,10751012864.0
62.099,33.444,4.165,0.0,0.0,0.292,0.0,0.0,1585586176.0,142397440.0,135991296.0,10751012864.0
61.510,34.070,4.128,0.0,0.0,0.292,0.0,0.0,1586216960.0,142397440.0,135995392.0,10750377984.0
63.125,32.333,4.125,0.0,0.0,0.417,0.0,20480.0,1585709056.0,142397440.0,135995392.0,10750885888.0
60.484,35.056,4.168,0.0,0.0,0.292,0.0,0.0,1585709056.0,142397440.0,135995392.0,10750885888.0
59.049,36.572,4.128,0.0,0.0,0.250,0.0,0.0,1585709056.0,142397440.0,135995392.0,10750885888.0
62.0,33.458,4.167,0.0,0.0,0.375,0.0,0.0,1585963008.0,142397440.0,135995392.0,10750631936.0
62.886,32.611,4.128,0.0,0.0,0.375,0.0,0.0,1585217536.0,142397440.0,135995392.0,10751377408.0
61.224,34.236,4.165,0.0,0.0,0.375,0.0,0.0,1584582656.0,142397440.0,135995392.0,10752012288.0
63.371,32.123,4.130,0.0,0.0,0.375,0.0,0.0,1584455680.0,142397440.0,135995392.0,10752139264.0
63.458,32.0,4.167,0.0,0.0,0.375,0.0,0.0,1585471488.0,142397440.0,135995392.0,10751123456.0
61.802,33.820,4.045,0.042,0.0,0.292,0.0,12288.0,1585041408.0,142405632.0,135987200.0,10751553536.0
58.458,37.083,4.167,0.0,0.0,0.292,0.0,0.0,1585160192.0,142405632.0,135995392.0,10751426560.0
57.250,38.042,4.292,0.167,0.0,0.250,0.0,278528.0,1584914432.0,142405632.0,135995392.0,10751672320.0
64.819,30.638,4.168,0.0,0.0,0.375,0.0,0.0,1585168384.0,142405632.0,135995392.0,10751418368.0
63.136,32.319,4.045,0.083,0.0,0.417,0.0,12288.0,1585672192.0,142409728.0,135995392.0,10750910464.0
64.792,30.708,4.167,0.0,0.0,0.333,0.0,0.0,1585545216.0,142409728.0,135995392.0,10751037440.0
