"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-8.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output is.C.x.csv",,,,"Date:","26 Feb 2016 02:51:33 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
25.090,1.775,73.120,0.012,0.000,0.003,7349.542,217994.870,980656128.0,105865216.0,3003641856.0,46650830848.0
4.163,0.083,95.754,0.0,0.0,0.0,0.0,0.0,995319808.0,105865216.0,3003658240.0,46636150784.0
4.128,0.042,95.830,0.0,0.0,0.0,0.0,0.0,1009987584.0,105865216.0,3003658240.0,46621483008.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1024790528.0,105865216.0,3003662336.0,46606675968.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1039470592.0,105865216.0,3003662336.0,46591995904.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1056374784.0,105865216.0,3003662336.0,46575091712.0
4.130,0.042,95.661,0.167,0.0,0.0,0.0,16384.0,1071050752.0,105869312.0,3003662336.0,46560411648.0
4.208,0.083,95.708,0.0,0.0,0.0,0.0,0.0,1085595648.0,105869312.0,3003662336.0,46545866752.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1100021760.0,105869312.0,3003662336.0,46531440640.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1114640384.0,105869312.0,3003662336.0,46516822016.0
4.130,0.042,95.828,0.0,0.0,0.0,0.0,0.0,1129320448.0,105869312.0,3003662336.0,46502141952.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1146097664.0,105869312.0,3003662336.0,46485364736.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1160777728.0,105869312.0,3003662336.0,46470684672.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1175457792.0,105869312.0,3003662336.0,46456004608.0
