"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-641-12.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output cg.A.x.csv",,,,"Date:","26 Feb 2016 12:39:05 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
49.796,7.709,42.424,0.065,0.000,0.005,266.201,18344.154,902725632.0,95543296.0,96464896.0,66563891200.0
3.126,0.063,96.812,0.0,0.0,0.0,0.0,0.0,902979584.0,95543296.0,96489472.0,66563612672.0


"Host:","compute-641-12.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output cg.A.x.csv",,,,"Date:","26 Feb 2016 12:39:09 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
49.796,7.709,42.424,0.065,0.000,0.005,266.201,18344.154,902156288.0,95551488.0,96636928.0,66564280320.0
3.155,0.094,96.751,0.0,0.0,0.0,0.0,0.0,902668288.0,95551488.0,96636928.0,66563768320.0
3.128,0.031,96.215,0.594,0.0,0.031,0.0,40960.0,902782976.0,95559680.0,96632832.0,66563649536.0


"Host:","compute-641-12.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output cg.A.x.csv",,,,"Date:","26 Feb 2016 12:39:13 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
49.796,7.709,42.424,0.065,0.000,0.005,266.201,18344.148,902275072.0,95559680.0,96636928.0,66564153344.0
3.125,0.062,96.812,0.0,0.0,0.0,0.0,0.0,902909952.0,95559680.0,96636928.0,66563518464.0


"Host:","compute-641-12.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output cg.A.x.csv",,,,"Date:","26 Feb 2016 12:39:17 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
49.796,7.709,42.424,0.065,0.000,0.005,266.201,18344.139,902889472.0,95563776.0,96641024.0,66563530752.0
3.125,0.094,96.781,0.0,0.0,0.0,0.0,0.0,903127040.0,95563776.0,96641024.0,66563293184.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,902983680.0,95563776.0,96641024.0,66563436544.0


"Host:","compute-641-12.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output cg.A.x.csv",,,,"Date:","26 Feb 2016 12:39:21 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
49.796,7.709,42.424,0.065,0.000,0.005,266.201,18344.127,902090752.0,95563776.0,96641024.0,66564329472.0
3.126,0.063,96.812,0.0,0.0,0.0,0.0,0.0,902225920.0,95563776.0,96641024.0,66564194304.0
3.127,0.094,96.154,0.594,0.0,0.031,0.0,12288.0,902082560.0,95567872.0,96636928.0,66564337664.0
