"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-8.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output ep.B.x.csv",,,,"Date:","25 Feb 2016 15:56:08 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
25.121,1.776,73.088,0.012,0.000,0.003,7360.913,218321.368,980107264.0,94269440.0,2994761728.0,46671855616.0
4.167,0.042,95.792,0.0,0.0,0.0,0.0,0.0,979984384.0,94269440.0,2994765824.0,46671974400.0
4.212,0.042,95.580,0.167,0.0,0.0,0.0,20480.0,980086784.0,94273536.0,2994786304.0,46671847424.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,979947520.0,94273536.0,2994790400.0,46671982592.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,979886080.0,94273536.0,2994790400.0,46672044032.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,979628032.0,94273536.0,2994790400.0,46672302080.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,979492864.0,94273536.0,2994790400.0,46672437248.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,979214336.0,94273536.0,2994790400.0,46672715776.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,978837504.0,94273536.0,2994790400.0,46673092608.0
4.212,0.042,95.746,0.0,0.0,0.0,0.0,0.0,978837504.0,94273536.0,2994790400.0,46673092608.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,978694144.0,94273536.0,2994790400.0,46673235968.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,8192.0,978440192.0,94273536.0,2994790400.0,46673489920.0
4.170,0.0,95.788,0.0,0.0,0.042,0.0,0.0,978440192.0,94273536.0,2994790400.0,46673489920.0
4.214,0.083,95.703,0.0,0.0,0.0,0.0,0.0,978214912.0,94273536.0,2994790400.0,46673715200.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,977960960.0,94273536.0,2994790400.0,46673969152.0
4.214,0.0,95.786,0.0,0.0,0.0,0.0,0.0,977960960.0,94273536.0,2994790400.0,46673969152.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,977960960.0,94273536.0,2994790400.0,46673969152.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,977707008.0,94273536.0,2994790400.0,46674223104.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,977707008.0,94273536.0,2994790400.0,46674223104.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,977580032.0,94273536.0,2994790400.0,46674350080.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,977326080.0,94273536.0,2994790400.0,46674604032.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,977326080.0,94273536.0,2994790400.0,46674604032.0
4.212,0.0,95.788,0.0,0.0,0.0,0.0,0.0,977326080.0,94273536.0,2994790400.0,46674604032.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,977080320.0,94273536.0,2994790400.0,46674849792.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,977072128.0,94273536.0,2994790400.0,46674857984.0
4.212,0.042,95.746,0.0,0.0,0.0,0.0,0.0,977063936.0,94273536.0,2994790400.0,46674866176.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,976809984.0,94273536.0,2994790400.0,46675120128.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,976809984.0,94273536.0,2994790400.0,46675120128.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,976809984.0,94273536.0,2994790400.0,46675120128.0
4.214,0.0,95.786,0.0,0.0,0.0,0.0,0.0,976560128.0,94273536.0,2994790400.0,46675369984.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,976433152.0,94273536.0,2994790400.0,46675496960.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,976433152.0,94273536.0,2994790400.0,46675496960.0
4.212,0.042,95.746,0.0,0.0,0.0,0.0,0.0,976187392.0,94273536.0,2994790400.0,46675742720.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,976187392.0,94273536.0,2994790400.0,46675742720.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,976187392.0,94273536.0,2994790400.0,46675742720.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,976084992.0,94273536.0,2994790400.0,46675845120.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,976211968.0,94273536.0,2994790400.0,46675718144.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,976211968.0,94273536.0,2994790400.0,46675718144.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,976007168.0,94273536.0,2994790400.0,46675922944.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,976007168.0,94273536.0,2994790400.0,46675922944.0
4.210,0.042,95.623,0.125,0.0,0.0,0.0,12288.0,975990784.0,94281728.0,2994790400.0,46675931136.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,975998976.0,94281728.0,2994790400.0,46675922944.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,975994880.0,94281728.0,2994794496.0,46675922944.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,975994880.0,94281728.0,2994794496.0,46675922944.0
4.212,0.0,95.788,0.0,0.0,0.0,0.0,0.0,975994880.0,94281728.0,2994794496.0,46675922944.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,975994880.0,94281728.0,2994794496.0,46675922944.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,975986688.0,94281728.0,2994794496.0,46675931136.0
4.214,0.0,95.786,0.0,0.0,0.0,0.0,0.0,975986688.0,94281728.0,2994794496.0,46675931136.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,975986688.0,94281728.0,2994794496.0,46675931136.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,975986688.0,94281728.0,2994794496.0,46675931136.0
4.214,0.0,95.786,0.0,0.0,0.0,0.0,0.0,975986688.0,94281728.0,2994794496.0,46675931136.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,975986688.0,94281728.0,2994794496.0,46675931136.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,975986688.0,94281728.0,2994794496.0,46675931136.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,975986688.0,94281728.0,2994794496.0,46675931136.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,975986688.0,94281728.0,2994794496.0,46675931136.0
4.175,0.0,95.825,0.0,0.0,0.0,0.0,0.0,975986688.0,94281728.0,2994794496.0,46675931136.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,975986688.0,94281728.0,2994794496.0,46675931136.0
4.214,0.042,95.745,0.0,0.0,0.0,0.0,0.0,975986688.0,94281728.0,2994794496.0,46675931136.0
4.174,0.083,95.743,0.0,0.0,0.0,0.0,0.0,975986688.0,94281728.0,2994794496.0,46675931136.0
4.212,0.042,95.746,0.0,0.0,0.0,0.0,0.0,975986688.0,94281728.0,2994794496.0,46675931136.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,975986688.0,94281728.0,2994794496.0,46675931136.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,975986688.0,94281728.0,2994794496.0,46675931136.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,976121856.0,94281728.0,2994794496.0,46675795968.0
4.170,0.0,95.788,0.0,0.0,0.042,0.0,0.0,976121856.0,94281728.0,2994794496.0,46675795968.0
4.212,0.042,95.746,0.0,0.0,0.0,0.0,0.0,976121856.0,94281728.0,2994794496.0,46675795968.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,976121856.0,94281728.0,2994794496.0,46675795968.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,976248832.0,94281728.0,2994794496.0,46675668992.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,976248832.0,94281728.0,2994794496.0,46675668992.0
4.215,0.042,95.743,0.0,0.0,0.0,0.0,0.0,976248832.0,94281728.0,2994794496.0,46675668992.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,976248832.0,94281728.0,2994794496.0,46675668992.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,976248832.0,94281728.0,2994794496.0,46675668992.0
