"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-7.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output ep.A.x.csv",,,,"Date:","25 Feb 2016 13:25:37 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
20.626,1.821,77.521,0.029,0.000,0.003,14985.729,483536.927,799461376.0,361709568.0,1941073920.0,47638749184.0
4.170,0.0,95.830,0.0,0.0,0.0,0.0,0.0,799694848.0,361709568.0,1941094400.0,47638495232.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,800067584.0,361709568.0,1941102592.0,47638114304.0
4.212,0.042,95.746,0.0,0.0,0.0,0.0,0.0,800067584.0,361709568.0,1941102592.0,47638114304.0
4.175,0.0,95.825,0.0,0.0,0.0,0.0,0.0,799940608.0,361709568.0,1941102592.0,47638241280.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,799813632.0,361709568.0,1941102592.0,47638368256.0
4.174,0.042,95.701,0.083,0.0,0.0,0.0,28672.0,799805440.0,361709568.0,1941102592.0,47638376448.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,799678464.0,361709568.0,1941102592.0,47638503424.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,800354304.0,361709568.0,1941102592.0,47637827584.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,800354304.0,361709568.0,1941102592.0,47637827584.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,800120832.0,361709568.0,1941102592.0,47638061056.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,799866880.0,361709568.0,1941102592.0,47638315008.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,799854592.0,361709568.0,1941102592.0,47638327296.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,799854592.0,361709568.0,1941102592.0,47638327296.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,799592448.0,361709568.0,1941102592.0,47638589440.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,799592448.0,361709568.0,1941102592.0,47638589440.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,799592448.0,361709568.0,1941102592.0,47638589440.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,799338496.0,361709568.0,1941102592.0,47638843392.0
4.214,0.042,95.745,0.0,0.0,0.0,0.0,0.0,799330304.0,361709568.0,1941102592.0,47638851584.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,799330304.0,361709568.0,1941102592.0,47638851584.0


"Host:","compute-431-7.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output ep.A.x.csv",,,,"Date:","25 Feb 2016 13:25:58 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
20.626,1.821,77.521,0.029,0.000,0.003,14985.716,483536.523,800972800.0,361709568.0,1941106688.0,47637204992.0
