"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-9.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output cg.A.x.csv",,,,"Date:","25 Feb 2016 15:34:03 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
24.119,1.756,74.094,0.028,0.000,0.003,11481.548,495108.666,1011425280.0,368656384.0,8407134208.0,40953778176.0
4.168,0.042,95.790,0.0,0.0,0.0,0.0,0.0,1011286016.0,368656384.0,8407449600.0,40953602048.0


"Host:","compute-431-9.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output cg.A.x.csv",,,,"Date:","25 Feb 2016 15:34:07 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
24.119,1.756,74.094,0.028,0.000,0.003,11481.546,495108.588,1010794496.0,368656384.0,8407580672.0,40953962496.0
4.165,0.042,95.793,0.0,0.0,0.0,0.0,0.0,1011302400.0,368656384.0,8407580672.0,40953454592.0


"Host:","compute-431-9.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output cg.A.x.csv",,,,"Date:","25 Feb 2016 15:34:11 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
24.119,1.756,74.094,0.028,0.000,0.003,11481.544,495108.515,1010618368.0,368656384.0,8407580672.0,40954138624.0
4.168,0.042,95.790,0.0,0.0,0.0,0.0,53248.0,1010872320.0,368656384.0,8407580672.0,40953884672.0


"Host:","compute-431-9.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output cg.A.x.csv",,,,"Date:","25 Feb 2016 15:34:15 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
24.119,1.756,74.094,0.028,0.000,0.003,11481.543,495108.439,1010008064.0,368656384.0,8407584768.0,40954744832.0
4.163,0.083,95.754,0.0,0.0,0.0,0.0,0.0,1010642944.0,368656384.0,8407584768.0,40954109952.0


"Host:","compute-431-9.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output cg.A.x.csv",,,,"Date:","25 Feb 2016 15:34:19 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
24.119,1.756,74.094,0.028,0.000,0.003,11481.541,495108.361,1010249728.0,368656384.0,8407584768.0,40954503168.0
4.165,0.042,95.793,0.0,0.0,0.0,0.0,0.0,1010765824.0,368656384.0,8407584768.0,40953987072.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1011138560.0,368656384.0,8407584768.0,40953614336.0
